,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000003685,3,3,9,4
ENSGACG00000003687,63,43,56,110
ENSGACG00000003693,239,165,231,271
ENSGACG00000003735,136,94,115,109
ENSGACG00000003738,1118,1291,3045,3068
ENSGACG00000003740,42,68,77,74
ENSGACG00000003756,4,16,10,57
ENSGACG00000003763,8292,7175,13205,12271
ENSGACG00000003774,478,474,1011,1262
ENSGACG00000003814,12,45,47,47
ENSGACG00000003816,1963,1537,2389,2977
ENSGACG00000003823,83,57,118,80
ENSGACG00000003837,149,103,158,163
ENSGACG00000003838,635,472,778,967
ENSGACG00000003846,31,51,95,128
ENSGACG00000003847,45,52,68,87
ENSGACG00000003857,0,0,3,0
ENSGACG00000003858,4,2,4,3
ENSGACG00000003865,424,383,586,724
ENSGACG00000003888,2,0,1,1
ENSGACG00000003889,273,212,421,401
ENSGACG00000003891,667,637,1052,1146
ENSGACG00000003893,2,11,6,13
ENSGACG00000003909,1,5,11,3
ENSGACG00000003913,889,819,1296,1658
ENSGACG00000003920,1651,932,2119,2011
ENSGACG00000003933,2,1,2,3
ENSGACG00000003936,707,531,1063,1214
ENSGACG00000003949,1877,1798,2869,2525
ENSGACG00000003955,103,71,62,99
ENSGACG00000021285,0,0,0,0
ENSGACG00000003956,63,43,61,57
ENSGACG00000003960,65,47,77,95
ENSGACG00000003962,1939,2066,3981,3980
ENSGACG00000003965,18,11,19,53
ENSGACG00000003976,187,150,250,296
ENSGACG00000003991,635,501,901,884
ENSGACG00000003994,8,23,18,0
ENSGACG00000004002,60,57,41,14
ENSGACG00000004008,47,51,235,199
ENSGACG00000004019,288,252,441,589
ENSGACG00000004022,0,0,0,0
ENSGACG00000004034,467,496,842,770
ENSGACG00000004036,4409,4057,7969,7754
ENSGACG00000004052,471,532,1048,1836
ENSGACG00000004059,550,578,1231,1153
ENSGACG00000004067,217,212,301,466
ENSGACG00000004075,154,45,345,1280
ENSGACG00000004079,8838,9549,13200,27768
ENSGACG00000004092,64,57,82,251
ENSGACG00000004096,23,29,26,66
ENSGACG00000004102,197,231,196,274
ENSGACG00000004107,0,4,6,4
ENSGACG00000004111,2155,2029,5353,5140
ENSGACG00000004128,2891,2445,4709,4669
ENSGACG00000004157,324,255,294,333
ENSGACG00000004163,10,6,3,15
ENSGACG00000004176,487,226,371,336
ENSGACG00000004182,120,88,93,116
ENSGACG00000004186,19047,19225,33215,31421
ENSGACG00000004197,299,129,365,205
ENSGACG00000004201,603,523,1389,1249
ENSGACG00000004209,56,46,30,1047
ENSGACG00000004252,41094,42097,71398,72826
ENSGACG00000004261,469,340,638,666
ENSGACG00000004275,4308,4460,7901,7729
ENSGACG00000004282,2,0,0,2
ENSGACG00000004297,96,75,110,97
ENSGACG00000004303,1086,930,1748,2014
ENSGACG00000004336,1560,1131,2774,2415
ENSGACG00000004344,0,0,0,0
ENSGACG00000004347,379,219,329,725
ENSGACG00000004356,0,0,0,0
ENSGACG00000004359,160,144,212,273
ENSGACG00000004363,125,84,145,167
ENSGACG00000004365,1726,1732,3653,3440
ENSGACG00000004422,12,7,29,24
ENSGACG00000004435,204,169,392,342
ENSGACG00000004436,711,674,1217,1180
ENSGACG00000004445,2962,2522,4217,4395
ENSGACG00000004456,1645,1239,2093,2398
ENSGACG00000004460,9521,8764,17713,20383
ENSGACG00000004505,1366,1353,2768,3170
ENSGACG00000004538,2531,2341,4119,4780
ENSGACG00000004557,203,208,353,444
ENSGACG00000004560,2868,2840,4207,4137
ENSGACG00000004586,109,97,153,222
ENSGACG00000004595,862,617,979,1039
ENSGACG00000004604,5062,2716,4599,7055
ENSGACG00000004661,100,91,190,179
ENSGACG00000004664,345,313,420,664
ENSGACG00000004690,5830,4674,7689,7672
ENSGACG00000004694,61,67,86,232
ENSGACG00000004701,819,914,1069,3498
ENSGACG00000004703,10,0,13,23
ENSGACG00000004706,2091,2042,3351,4465
ENSGACG00000004717,16665,13778,25474,25362
ENSGACG00000004725,985,764,1433,1642
ENSGACG00000004747,28,45,40,53
ENSGACG00000004751,1495,810,1544,2153
ENSGACG00000004755,1237,976,1911,2242
ENSGACG00000004764,2011,1703,3149,3815
ENSGACG00000004804,232,223,314,550
ENSGACG00000004830,260,361,378,296
ENSGACG00000004834,133,123,187,208
ENSGACG00000004845,2674,2073,3271,4403
ENSGACG00000004852,107,97,155,218
ENSGACG00000004863,1395,1455,2108,2901
ENSGACG00000004870,139,93,92,153
ENSGACG00000004873,139,76,134,144
ENSGACG00000004878,31,37,44,30
ENSGACG00000004882,12263,17988,32938,46967
ENSGACG00000004905,2007,2051,3306,3678
ENSGACG00000004942,664,621,481,298
ENSGACG00000004949,7856,9353,12284,11338
ENSGACG00000004953,141,135,156,292
ENSGACG00000004956,27,14,36,47
ENSGACG00000004967,712,801,1319,1339
ENSGACG00000004982,2534,2013,3471,3283
ENSGACG00000004991,9,4,30,51
ENSGACG00000004993,2676,1840,4521,2456
ENSGACG00000004998,436,324,948,710
ENSGACG00000004999,729,731,1155,2433
ENSGACG00000005055,2575,3267,6953,6117
ENSGACG00000005071,34,23,14,21
ENSGACG00000005074,2371,1959,4152,3920
ENSGACG00000005087,473,517,1150,1173
ENSGACG00000005097,922,909,1567,1817
ENSGACG00000005109,1253,1113,2126,2049
ENSGACG00000005116,2184,1878,3441,3765
ENSGACG00000005134,1541,1336,2543,2560
ENSGACG00000005141,1483,1555,3240,3244
ENSGACG00000005146,1,0,4,6
ENSGACG00000005155,27,21,27,24
ENSGACG00000005172,432,367,686,1140
ENSGACG00000005286,857,386,1171,1178
ENSGACG00000005288,20,38,31,11
ENSGACG00000005308,82,34,138,182
ENSGACG00000005314,3,2,3,5
ENSGACG00000005328,7,11,86,40
ENSGACG00000005346,115,74,186,257
ENSGACG00000005360,6,0,2,10
ENSGACG00000005371,24,9,11,31
ENSGACG00000005374,2098,2009,3092,3264
ENSGACG00000005377,25,25,81,76
ENSGACG00000005386,0,1,2,5
ENSGACG00000005390,60,76,53,71
ENSGACG00000005398,836,642,1076,1332
ENSGACG00000005424,10633,12175,26442,20784
ENSGACG00000005435,321,521,517,1048
ENSGACG00000005449,594,463,859,708
ENSGACG00000005455,6,12,22,25
ENSGACG00000005472,25,33,10,8
ENSGACG00000005475,14,27,16,46
ENSGACG00000005478,976,902,1807,1710
ENSGACG00000005488,2309,1509,1225,1763
ENSGACG00000005500,40,48,43,72
ENSGACG00000005504,6785,6036,13612,11586
ENSGACG00000005519,696,617,971,1243
ENSGACG00000005524,74,142,279,277
ENSGACG00000005526,2,0,10,6
ENSGACG00000005528,2967,2330,4724,5373
ENSGACG00000005543,871,710,1788,1575
ENSGACG00000005557,465,389,897,1057
ENSGACG00000005563,0,0,0,0
ENSGACG00000005565,22,14,32,53
ENSGACG00000005570,0,0,0,0
ENSGACG00000005575,439,413,583,627
ENSGACG00000005577,339,302,643,696
ENSGACG00000005580,3848,3176,5243,5286
ENSGACG00000005586,1388,1302,2554,2465
ENSGACG00000005629,24,12,18,40
ENSGACG00000000302,2,0,0,4
ENSGACG00000000307,1102,912,969,2057
ENSGACG00000000309,7375,3663,7645,9616
ENSGACG00000022826,17,16,14,25
ENSGACG00000000312,188,187,297,321
ENSGACG00000000313,2876,2430,4609,5201
ENSGACG00000000316,721,539,952,985
ENSGACG00000000319,3095,3148,5659,5328
ENSGACG00000000327,62,61,166,271
ENSGACG00000000329,5560,5193,10958,12607
ENSGACG00000000331,115,165,95,201
ENSGACG00000000332,8617,5136,10927,13795
ENSGACG00000000340,84,83,144,197
ENSGACG00000000347,982,771,1245,1606
ENSGACG00000000349,0,0,6,5
ENSGACG00000000353,93,67,327,277
ENSGACG00000000357,1747,1285,2612,2695
ENSGACG00000000364,274,134,280,316
ENSGACG00000000367,137,87,150,178
ENSGACG00000000371,69,28,62,68
ENSGACG00000000374,292,276,1034,1699
ENSGACG00000000375,8606,7446,15931,16783
ENSGACG00000000376,1686,1465,2498,2907
ENSGACG00000000383,1797,1556,3353,3426
ENSGACG00000000385,229,205,420,442
ENSGACG00000000388,966,918,1590,1714
ENSGACG00000000393,1,0,0,0
ENSGACG00000000397,91,107,149,254
ENSGACG00000000399,3,4,0,4
ENSGACG00000000404,0,0,0,0
ENSGACG00000000406,0,0,0,1
ENSGACG00000000411,0,1,2,4
ENSGACG00000000412,16,21,52,57
ENSGACG00000000418,543,417,426,760
ENSGACG00000000423,0,0,0,0
ENSGACG00000000424,183,231,459,389
ENSGACG00000000425,4461,4081,7873,8023
ENSGACG00000000436,15,12,8,8
ENSGACG00000000437,287,255,448,435
ENSGACG00000000439,131,49,206,192
ENSGACG00000000441,21,0,4,11
ENSGACG00000000443,398,266,459,472
ENSGACG00000000449,466,396,697,698
ENSGACG00000000450,2,17,9,20
ENSGACG00000000451,61,9,9,22
ENSGACG00000000456,449,509,1039,890
ENSGACG00000000461,447,346,515,536
ENSGACG00000000465,0,0,0,0
ENSGACG00000000467,193,132,229,288
ENSGACG00000000470,22,8,6,25
ENSGACG00000000471,8,0,6,11
ENSGACG00000000472,2200,1797,2148,2584
ENSGACG00000000486,271,175,248,329
ENSGACG00000000493,8323,7101,16702,16648
ENSGACG00000000498,3617,4011,6685,9370
ENSGACG00000000502,2507,2356,4373,4465
ENSGACG00000000508,2031,1663,2884,3094
ENSGACG00000000512,503,418,1040,1097
ENSGACG00000000516,663,646,1018,1069
ENSGACG00000000522,21,7,27,19
ENSGACG00000000523,28,15,35,64
ENSGACG00000000524,0,4,11,10
ENSGACG00000000526,170,129,199,227
ENSGACG00000000528,5,5,2,3
ENSGACG00000000536,17,20,14,25
ENSGACG00000000539,472,438,616,847
ENSGACG00000000544,218,224,272,393
ENSGACG00000000545,2250,1346,2205,4436
ENSGACG00000000550,112,58,251,246
ENSGACG00000000552,18,38,92,159
ENSGACG00000000555,258,182,413,388
ENSGACG00000000557,2142,1878,3923,4044
ENSGACG00000000568,50,14,64,86
ENSGACG00000000572,1173,678,946,1208
ENSGACG00000000584,63,21,81,154
ENSGACG00000000585,1460,1090,2103,1972
ENSGACG00000000599,15,29,54,57
ENSGACG00000000601,0,0,0,0
ENSGACG00000000603,5,9,1,0
ENSGACG00000000604,139,72,192,194
ENSGACG00000000605,270,167,226,325
ENSGACG00000000608,825,671,931,1288
ENSGACG00000000609,184,179,279,285
ENSGACG00000000610,17,11,9,21
ENSGACG00000000612,131,105,134,181
ENSGACG00000000614,219,297,327,366
ENSGACG00000000615,0,0,0,4
ENSGACG00000000617,112,104,116,186
ENSGACG00000000618,938,982,1749,2690
ENSGACG00000000629,0,0,0,0
ENSGACG00000000630,1310,657,1428,1537
ENSGACG00000000632,485,298,586,908
ENSGACG00000000633,1453,1083,4227,4986
ENSGACG00000000638,826,768,1558,1394
ENSGACG00000000641,1492,1660,3579,4296
ENSGACG00000000643,40,74,192,188
ENSGACG00000000644,1882,1558,2635,2390
ENSGACG00000000653,1794,1648,2882,2950
ENSGACG00000000659,683,649,824,922
ENSGACG00000000661,0,2,0,0
ENSGACG00000000663,7,7,6,12
ENSGACG00000000664,37,31,67,93
ENSGACG00000000665,142,92,208,218
ENSGACG00000000666,10,4,8,2
ENSGACG00000000667,3158,3147,5275,5011
ENSGACG00000000671,44,25,27,25
ENSGACG00000000679,357,340,638,707
ENSGACG00000000680,2057,1607,2737,3267
ENSGACG00000000681,4081,3192,6711,6424
ENSGACG00000000685,1622,1483,3073,3725
ENSGACG00000000687,17,9,22,60
ENSGACG00000000692,20,21,50,51
ENSGACG00000000694,303,170,330,409
ENSGACG00000000696,593,438,735,735
ENSGACG00000000697,849,393,960,960
ENSGACG00000000700,15,8,28,23
ENSGACG00000000702,2,4,4,0
ENSGACG00000000703,0,2,3,0
ENSGACG00000000705,77,114,119,229
ENSGACG00000000707,9406,2957,4801,6253
ENSGACG00000000709,6,4,17,10
ENSGACG00000000710,331,309,365,412
ENSGACG00000000711,1983,1704,2646,3148
ENSGACG00000000713,75,59,113,142
ENSGACG00000000714,178,191,478,805
ENSGACG00000000718,0,0,2,0
ENSGACG00000000719,103,106,202,161
ENSGACG00000000723,1246,1182,2306,2260
ENSGACG00000000729,3994,3522,5682,6039
ENSGACG00000000739,97,61,198,188
ENSGACG00000000741,48885,49066,96502,81924
ENSGACG00000000743,47294,46770,90830,78620
ENSGACG00000000746,11,14,13,14
ENSGACG00000000747,0,4,1,7
ENSGACG00000000750,267,286,606,474
ENSGACG00000000754,28,37,44,61
ENSGACG00000000755,680,729,1270,1187
ENSGACG00000000761,4,4,12,6
ENSGACG00000000762,0,0,10,0
ENSGACG00000000764,623,796,1733,1321
ENSGACG00000000766,118,231,260,273
ENSGACG00000000771,11586,11396,27491,23076
ENSGACG00000000786,598,614,1161,1084
ENSGACG00000000787,5978,3497,7921,8207
ENSGACG00000000793,1132,673,1127,1142
ENSGACG00000000801,412,252,696,573
ENSGACG00000000806,51,41,52,66
ENSGACG00000000807,8990,8822,16915,15040
ENSGACG00000000813,2274,1815,3573,3671
ENSGACG00000000815,269,150,440,417
ENSGACG00000000823,264,250,401,391
ENSGACG00000000824,15,6,17,22
ENSGACG00000000829,314,157,281,323
ENSGACG00000000830,3993,3409,5757,6915
ENSGACG00000000831,2160,2436,4384,4033
ENSGACG00000000832,0,0,2,0
ENSGACG00000000833,1208,781,1963,2976
ENSGACG00000000836,264,204,493,594
ENSGACG00000000837,93,87,159,156
ENSGACG00000000839,5570,4751,7764,8317
ENSGACG00000000845,15,19,17,8
ENSGACG00000000858,1502,1560,2581,2588
ENSGACG00000000868,1140,912,1847,1875
ENSGACG00000000872,3110,2900,5627,6393
ENSGACG00000000882,10499,12627,26478,21988
ENSGACG00000000884,1549,1621,4034,4212
ENSGACG00000000897,815,743,1390,1269
ENSGACG00000000898,2,0,0,2
ENSGACG00000000906,1286,938,1223,1848
ENSGACG00000000911,5,4,0,0
ENSGACG00000000913,3,4,2,10
ENSGACG00000000914,4,8,7,10
ENSGACG00000000920,218,200,327,395
ENSGACG00000000924,114,58,259,324
ENSGACG00000000928,0,0,0,0
ENSGACG00000000930,2427,2096,3525,3852
ENSGACG00000000936,13,5,7,4
ENSGACG00000000945,754,591,900,1071
ENSGACG00000000963,5429,4551,8629,9583
ENSGACG00000000980,444,305,677,734
ENSGACG00000000986,2718,1427,2512,3143
ENSGACG00000000989,0,0,0,0
ENSGACG00000000990,2,0,3,3
ENSGACG00000001004,0,2,2,2
ENSGACG00000001008,188,188,182,236
ENSGACG00000001011,28,18,6,0
ENSGACG00000001013,6,8,6,6
ENSGACG00000001016,0,5,0,3
ENSGACG00000001022,712,641,1059,1125
ENSGACG00000001025,16,2,2,1
ENSGACG00000001027,801,775,1218,1324
ENSGACG00000001028,592,568,828,1026
ENSGACG00000001029,831,740,1005,1202
ENSGACG00000001035,259,218,299,369
ENSGACG00000001042,11317,8229,13001,14102
ENSGACG00000001049,531,453,654,1065
ENSGACG00000001052,12,10,6,25
ENSGACG00000001056,456,355,576,601
ENSGACG00000001058,625,504,853,887
ENSGACG00000001059,2257,1312,2229,2725
ENSGACG00000001060,6,1,2,4
ENSGACG00000001061,13,17,10,47
ENSGACG00000001063,1178,1062,1761,1793
ENSGACG00000001065,83,24,86,74
ENSGACG00000001070,16648,16017,31924,28909
ENSGACG00000001082,2940,2925,5048,5267
ENSGACG00000001083,637,817,989,1582
ENSGACG00000022577,0,0,0,1
ENSGACG00000001084,56,52,125,129
ENSGACG00000001085,0,0,0,0
ENSGACG00000001089,23,19,14,29
ENSGACG00000001090,3899,3528,4973,5657
ENSGACG00000001094,1015,555,927,1495
ENSGACG00000001112,4055,3396,5243,6319
ENSGACG00000001134,1270,925,1443,1611
ENSGACG00000001140,50,61,49,83
ENSGACG00000001143,1418,1029,1998,2033
ENSGACG00000001151,1384,1163,3165,2856
ENSGACG00000001156,2126,2065,4151,4082
ENSGACG00000001164,14,11,48,39
ENSGACG00000001171,137,119,188,200
ENSGACG00000001176,2989,2457,4394,4469
ENSGACG00000001179,11,18,35,42
ENSGACG00000001183,1887,1302,3038,3227
ENSGACG00000001188,946,791,1263,1084
ENSGACG00000001193,705,493,956,1134
ENSGACG00000001195,531,342,726,743
ENSGACG00000001197,998,832,1776,1836
ENSGACG00000001206,7928,6534,13096,13626
ENSGACG00000001208,568,400,666,736
ENSGACG00000001211,24,44,37,61
ENSGACG00000001215,11,4,2,9
ENSGACG00000001217,0,0,7,2
ENSGACG00000001219,53,34,64,85
ENSGACG00000001222,0,0,6,0
ENSGACG00000001226,0,0,0,0
ENSGACG00000001229,39,22,49,54
ENSGACG00000001237,491,380,612,809
ENSGACG00000001246,210,146,373,357
ENSGACG00000001247,1138,1267,2410,2084
ENSGACG00000001248,298,202,601,619
ENSGACG00000001254,4095,3679,6637,6670
ENSGACG00000022264,0,0,0,0
ENSGACG00000001275,500,163,1004,1250
ENSGACG00000001276,282,151,319,253
ENSGACG00000001278,1125,1136,1584,1776
ENSGACG00000001280,1,6,3,6
ENSGACG00000001286,6711,6293,9637,9534
ENSGACG00000001292,169,198,591,360
ENSGACG00000001294,2140,2142,2969,5756
ENSGACG00000001297,16,0,6,18
ENSGACG00000001300,352,347,574,846
ENSGACG00000001303,2,7,8,9
ENSGACG00000001312,39,21,48,56
ENSGACG00000001317,160,157,160,261
ENSGACG00000001327,650,1194,818,933
ENSGACG00000001336,10,9,16,21
ENSGACG00000001346,2,10,5,7
ENSGACG00000001352,3019,2854,4492,4619
ENSGACG00000001361,3693,3281,5718,5925
ENSGACG00000001365,80,62,144,187
ENSGACG00000001373,138,98,127,201
ENSGACG00000001382,33,19,29,33
ENSGACG00000001392,14,5,3,0
ENSGACG00000001398,0,0,0,0
ENSGACG00000001434,0,0,2,0
ENSGACG00000001437,262,184,171,201
ENSGACG00000001466,420,605,98,174
ENSGACG00000001473,14782,10309,16498,18138
ENSGACG00000001475,4841,4093,5837,5996
ENSGACG00000001476,1086,846,1139,1060
ENSGACG00000001477,317,216,371,374
ENSGACG00000001478,0,0,2,2
ENSGACG00000001480,82,66,2,17
ENSGACG00000001483,329,287,444,474
ENSGACG00000001485,34,30,53,40
ENSGACG00000001486,1331,1130,2193,2372
ENSGACG00000001490,846,771,1043,691
ENSGACG00000001493,1138,1133,1642,1098
ENSGACG00000001495,98,66,64,86
ENSGACG00000001497,147,60,135,179
ENSGACG00000001498,5787,4310,7511,8260
ENSGACG00000001500,15324,18371,30616,33486
ENSGACG00000001501,99,85,252,202
ENSGACG00000001503,2753,1837,3491,3708
ENSGACG00000001505,1618,1213,2002,1926
ENSGACG00000001510,548,431,528,563
ENSGACG00000001513,308,255,324,419
ENSGACG00000001514,18,6,639,56
ENSGACG00000001516,0,0,4,2
ENSGACG00000001520,2,1,8,24
ENSGACG00000001522,94,43,103,269
ENSGACG00000001528,5,8,14,66
ENSGACG00000001540,0,5,4,4
ENSGACG00000001544,1097,887,1206,945
ENSGACG00000001552,479,361,859,717
ENSGACG00000001553,195,167,271,322
ENSGACG00000001554,1056,865,1344,1564
ENSGACG00000001555,212,176,396,437
ENSGACG00000001557,308,247,516,524
ENSGACG00000001558,427,398,582,686
ENSGACG00000001560,1134,1047,1407,1561
ENSGACG00000001561,10,22,18,36
ENSGACG00000001565,14,6,73,37
ENSGACG00000001567,0,0,4,2
ENSGACG00000001568,22,5,4,9
ENSGACG00000001569,17,12,4,8
ENSGACG00000001573,94,88,377,328
ENSGACG00000001585,11,6,48,68
ENSGACG00000001586,841,782,990,1528
ENSGACG00000001588,516,358,547,661
ENSGACG00000022538,237,239,329,301
ENSGACG00000001589,445,346,698,670
ENSGACG00000001591,324,214,396,507
ENSGACG00000001593,17,23,17,7
ENSGACG00000001597,8,14,13,30
ENSGACG00000001610,0,0,0,0
ENSGACG00000001612,21,18,14,29
ENSGACG00000001643,0,2,0,2
ENSGACG00000001644,510,459,831,1007
ENSGACG00000001649,1989,1756,3937,3508
ENSGACG00000001657,1394,1216,2416,2748
ENSGACG00000001660,1230,861,1475,1630
ENSGACG00000001663,0,0,2,5
ENSGACG00000001665,301,233,630,860
ENSGACG00000001667,549,546,1390,1634
ENSGACG00000001670,82,83,74,136
ENSGACG00000001672,5126,3033,5170,6795
ENSGACG00000001677,1708,1243,2335,2935
ENSGACG00000001683,717,521,1014,993
ENSGACG00000001693,273,196,425,488
ENSGACG00000001699,1549,1415,2495,2554
ENSGACG00000001703,12,16,101,49
ENSGACG00000001715,1615,1334,2449,2357
ENSGACG00000000861,5,2,3,13
ENSGACG00000000864,22,11,461,86
ENSGACG00000000869,8,13,510,135
ENSGACG00000000871,5,7,0,0
ENSGACG00000000873,11,14,42,54
ENSGACG00000000878,1694,1546,3035,1832
ENSGACG00000000879,0,2,12,4
ENSGACG00000000883,140,127,131,161
ENSGACG00000000886,38,23,23,32
ENSGACG00000000887,20,5,12,20
ENSGACG00000000893,9,3,11,9
ENSGACG00000000895,19,16,23,30
ENSGACG00000000903,8,9,14,12
ENSGACG00000000904,0,0,0,0
ENSGACG00000000907,0,0,0,0
ENSGACG00000000908,0,0,0,0
ENSGACG00000000912,0,0,0,0
ENSGACG00000000915,0,0,0,0
ENSGACG00000000925,0,0,0,0
ENSGACG00000000926,7,15,30,32
ENSGACG00000000931,8,11,56,94
ENSGACG00000000933,14,42,37,47
ENSGACG00000000934,2286,2307,4196,4789
ENSGACG00000021519,0,0,0,1
ENSGACG00000000937,4,2,2,0
ENSGACG00000000938,2,0,6,4
ENSGACG00000000940,814,700,1115,1162
ENSGACG00000000951,1429,1387,2488,2887
ENSGACG00000000964,170,162,298,322
ENSGACG00000000965,392,311,400,619
ENSGACG00000000967,0,0,0,0
ENSGACG00000000970,487,357,734,639
ENSGACG00000000972,797,348,904,890
ENSGACG00000000975,0,0,0,0
ENSGACG00000000976,237,197,455,447
ENSGACG00000000979,4,2,11,13
ENSGACG00000000981,212,169,380,402
ENSGACG00000000983,0,0,0,0
ENSGACG00000000984,0,0,0,0
ENSGACG00000000987,337,282,407,662
ENSGACG00000000999,143,110,197,216
ENSGACG00000001002,969,943,1647,1686
ENSGACG00000001006,2796,3199,6389,6706
ENSGACG00000001018,27,42,280,326
ENSGACG00000001021,301,334,485,455
ENSGACG00000001024,2274,1782,4333,5980
ENSGACG00000001050,1,0,2,0
ENSGACG00000001055,44,35,86,89
ENSGACG00000001069,9,15,21,31
ENSGACG00000000698,8,7,9,13
ENSGACG00000000701,143,100,160,205
ENSGACG00000000704,97,68,83,78
ENSGACG00000000715,362,290,168,794
ENSGACG00000000721,402,262,496,666
ENSGACG00000000726,201,161,236,227
ENSGACG00000000727,321,289,505,426
ENSGACG00000000728,19,8,24,60
ENSGACG00000000730,2,8,0,21
ENSGACG00000021272,0,0,0,7
ENSGACG00000000731,1903,1228,2507,3393
ENSGACG00000000733,1008,716,1596,1893
ENSGACG00000000735,3097,3699,8886,9631
ENSGACG00000000740,291,252,508,453
ENSGACG00000000744,974,824,1307,1256
ENSGACG00000000745,1038,892,1337,2169
ENSGACG00000000749,226,120,160,281
ENSGACG00000000751,1167,1055,1544,1686
ENSGACG00000000753,383,328,488,667
ENSGACG00000000758,2,0,1,0
ENSGACG00000000759,321,314,501,738
ENSGACG00000000768,375,291,330,660
ENSGACG00000000770,143,80,159,266
ENSGACG00000000774,0,0,0,0
ENSGACG00000000775,0,0,0,0
ENSGACG00000000776,34,33,101,94
ENSGACG00000000777,225,169,297,350
ENSGACG00000000782,201,168,218,375
ENSGACG00000000789,667,611,1243,1472
ENSGACG00000000790,1553,916,2356,3228
ENSGACG00000000791,5054,3962,8284,8055
ENSGACG00000000797,4,0,2,2
ENSGACG00000000799,1325,1288,2866,2690
ENSGACG00000000802,43,56,143,219
ENSGACG00000000803,2320,1697,3506,4071
ENSGACG00000022460,0,0,0,0
ENSGACG00000000804,2294,1696,3320,2829
ENSGACG00000000808,368,302,471,622
ENSGACG00000000809,1419,1199,1853,2314
ENSGACG00000000811,326,218,620,381
ENSGACG00000000812,3426,3048,5927,6125
ENSGACG00000000817,1062,857,1688,2017
ENSGACG00000000819,1100,836,1412,1534
ENSGACG00000000821,1738,1297,2037,2148
ENSGACG00000000822,5852,4311,7561,7729
ENSGACG00000000826,6101,5295,8659,9685
ENSGACG00000000827,1866,1488,3012,3678
ENSGACG00000000840,2,12,7,11
ENSGACG00000000843,782,546,1362,1351
ENSGACG00000000846,1170,1119,1767,2092
ENSGACG00000000848,1471,1055,2620,3469
ENSGACG00000000850,12476,8724,18014,19296
ENSGACG00000000852,449,403,844,834
ENSGACG00000000853,1959,1676,2991,3092
ENSGACG00000000862,1433,1237,2260,2296
ENSGACG00000000867,5303,5342,11767,10267
ENSGACG00000000870,4651,3794,6913,7369
ENSGACG00000000874,189,161,271,321
ENSGACG00000000877,3042,3143,5921,7009
ENSGACG00000000890,6290,6480,10868,10853
ENSGACG00000000892,1456,1109,2061,1957
ENSGACG00000000900,0,1,1,1
ENSGACG00000000901,14,10,9,17
ENSGACG00000000917,1100,968,1856,1989
ENSGACG00000000929,545,334,627,854
ENSGACG00000000932,182,328,275,548
ENSGACG00000000941,104,73,223,175
ENSGACG00000000958,1154,792,1421,1571
ENSGACG00000000960,211,181,382,312
ENSGACG00000000961,154,131,148,160
ENSGACG00000000966,58,42,97,139
ENSGACG00000000969,3130,1829,3214,3893
ENSGACG00000000974,9,4,6,7
ENSGACG00000015190,968,956,2133,2123
ENSGACG00000015195,738,534,1120,1508
ENSGACG00000015202,2969,2324,3475,3972
ENSGACG00000015212,92,59,405,282
ENSGACG00000015214,2211,2060,3478,3916
ENSGACG00000015215,693,574,1058,1506
ENSGACG00000015227,31,27,57,33
ENSGACG00000015228,3644,3410,6352,6647
ENSGACG00000015233,4,5,6,10
ENSGACG00000015241,1874,1515,2671,3010
ENSGACG00000015242,251,265,748,524
ENSGACG00000015243,25,26,44,84
ENSGACG00000022673,0,0,0,0
ENSGACG00000015246,0,0,0,0
ENSGACG00000015247,54811,51828,106783,89343
ENSGACG00000015256,156,159,268,342
ENSGACG00000015258,1996,1771,3054,2198
ENSGACG00000015266,211,199,294,364
ENSGACG00000015269,112,84,147,85
ENSGACG00000015280,530,503,1008,928
ENSGACG00000015288,2263,1838,3697,2990
ENSGACG00000015290,26,9,7,19
ENSGACG00000015291,85,46,96,119
ENSGACG00000015293,1889,1702,3226,3075
ENSGACG00000015304,404,531,1002,1529
ENSGACG00000015307,0,0,0,0
ENSGACG00000015309,0,0,0,0
ENSGACG00000015311,10,12,63,19
ENSGACG00000015313,85,39,85,114
ENSGACG00000015314,18,15,22,5
ENSGACG00000015318,0,0,0,0
ENSGACG00000022762,0,0,0,0
ENSGACG00000015320,47,34,145,121
ENSGACG00000015329,328,176,291,395
ENSGACG00000015334,3117,1754,3157,4212
ENSGACG00000015340,359,344,519,646
ENSGACG00000015342,161,85,68,151
ENSGACG00000015343,186,162,355,448
ENSGACG00000015347,919,702,1945,1862
ENSGACG00000015360,709,803,1539,1536
ENSGACG00000015362,646,651,1013,1130
ENSGACG00000015370,67,42,54,338
ENSGACG00000015379,833,791,1265,1717
ENSGACG00000015385,1752,1881,3772,3763
ENSGACG00000015387,1846,1277,2597,2539
ENSGACG00000015389,1662,1483,2745,2665
ENSGACG00000015393,200,131,173,227
ENSGACG00000015394,487,379,917,875
ENSGACG00000015395,132,111,94,134
ENSGACG00000015400,66,26,167,276
ENSGACG00000015401,51,30,71,84
ENSGACG00000015404,122,93,113,175
ENSGACG00000015405,864,919,1416,1558
ENSGACG00000015408,437,365,610,658
ENSGACG00000015412,109,111,177,201
ENSGACG00000015413,1636,1516,2738,2267
ENSGACG00000015427,3574,3063,5734,5642
ENSGACG00000015436,1238,1229,1669,1556
ENSGACG00000022837,15533,14220,28874,25693
ENSGACG00000022889,24972,22641,50217,38238
