,OneH_Tru,ThreeH_Tru,SixH_Tru,SevenH_Tru
ENSGACG00000017883,19,4,51,45
ENSGACG00000017885,9450,8100,14315,12911
ENSGACG00000017891,41,50,53,75
ENSGACG00000017895,6,1,2,9
ENSGACG00000017896,3369,2615,4802,5049
ENSGACG00000017901,386,311,554,814
ENSGACG00000017905,8,4,2,6
ENSGACG00000017907,6,2,2,6
ENSGACG00000017910,12,2,6,19
ENSGACG00000017911,4,0,4,4
ENSGACG00000017912,15,2,6,8
ENSGACG00000017913,3,4,2,7
ENSGACG00000017914,2,2,2,6
ENSGACG00000017915,151,102,182,297
ENSGACG00000017917,43,30,49,118
ENSGACG00000017919,118,94,87,104
ENSGACG00000017920,6,4,12,20
ENSGACG00000022902,1,2,0,7
ENSGACG00000022828,0,0,2,2
ENSGACG00000022802,1,0,1,1
ENSGACG00000017921,32,16,73,93
ENSGACG00000017925,1422,1427,2692,2998
ENSGACG00000017928,9089,6310,14449,15870
ENSGACG00000017934,494,670,1020,1488
ENSGACG00000017939,9,13,17,12
ENSGACG00000017940,362,359,679,1046
ENSGACG00000017941,491,392,725,818
ENSGACG00000017942,89,87,287,169
ENSGACG00000017944,4,8,9,31
ENSGACG00000017946,916,1064,2372,2438
ENSGACG00000017954,7,11,13,24
ENSGACG00000017958,842,879,1219,731
ENSGACG00000017960,1510,1185,1805,1851
ENSGACG00000017962,232,286,474,556
ENSGACG00000017963,2445,2297,5455,4324
ENSGACG00000017966,571,479,889,990
ENSGACG00000017969,1625,1235,2671,2526
ENSGACG00000017971,2435,1407,4077,4855
ENSGACG00000017972,7176,6822,12059,10336
ENSGACG00000017976,9244,5735,9642,12169
ENSGACG00000017978,488,354,501,391
ENSGACG00000017979,433,395,189,271
ENSGACG00000017980,672,648,717,934
ENSGACG00000017981,1644,1302,2337,2451
ENSGACG00000017982,649,590,1128,790
ENSGACG00000017988,1674,1769,5433,5497
ENSGACG00000017990,1102,1387,2451,2075
ENSGACG00000017993,424,238,743,720
ENSGACG00000017995,1546,1258,3028,4052
ENSGACG00000017998,0,0,2,0
ENSGACG00000018002,9892,6716,14343,18628
ENSGACG00000018004,10,17,22,22
ENSGACG00000018005,474,343,707,765
ENSGACG00000018007,35,19,657,687
ENSGACG00000018011,1843,1191,1882,2669
ENSGACG00000018015,455,585,927,533
ENSGACG00000018016,214818,184100,277550,263470
ENSGACG00000018023,308,247,660,770
ENSGACG00000018027,3457,2889,5271,5398
ENSGACG00000018029,121,91,181,205
ENSGACG00000018030,6,0,2,0
ENSGACG00000018033,6,9,10,24
ENSGACG00000018035,3830,4160,7747,7227
ENSGACG00000018036,2,0,83,0
ENSGACG00000018040,25,20,24,108
ENSGACG00000018041,246,215,9,17
ENSGACG00000018042,3414,3512,6486,5314
ENSGACG00000018046,925,667,1107,1466
ENSGACG00000018050,1847,2396,900,852
ENSGACG00000018052,2,0,2,0
ENSGACG00000018053,2824,2029,4098,3505
ENSGACG00000018062,85,72,36,113
ENSGACG00000018076,483,445,808,900
ENSGACG00000018080,77,68,122,173
ENSGACG00000018081,55,59,83,104
ENSGACG00000018083,250,191,367,413
ENSGACG00000018086,200,190,353,409
ENSGACG00000018089,378,233,560,489
ENSGACG00000018091,11173,11129,18518,18903
ENSGACG00000018098,81,46,61,87
ENSGACG00000018102,22,14,16,17
ENSGACG00000018103,126041,134050,276591,226027
ENSGACG00000018115,0,4,0,5
ENSGACG00000018116,15107,11813,20294,22619
ENSGACG00000018119,13801,11053,19075,20089
ENSGACG00000018122,1546,1266,3799,2577
ENSGACG00000018129,15,16,10,19
ENSGACG00000018131,2027,1963,3321,3426
ENSGACG00000018133,92,138,136,197
ENSGACG00000018137,638,304,479,664
ENSGACG00000018138,5015,2865,4967,6413
ENSGACG00000018139,163,82,246,200
ENSGACG00000018140,160,202,519,569
ENSGACG00000018141,103,72,147,155
ENSGACG00000018143,23,30,19,42
ENSGACG00000018144,3418,2585,4202,4882
ENSGACG00000018147,405,266,479,588
ENSGACG00000018148,710,544,1122,989
ENSGACG00000018149,11082,9339,20144,19903
ENSGACG00000018152,137,84,173,333
ENSGACG00000018159,568,558,977,955
ENSGACG00000018161,472,435,584,880
ENSGACG00000018164,0,0,2,4
ENSGACG00000018167,35,16,31,38
ENSGACG00000018169,0,2,0,8
ENSGACG00000018171,1174,1046,1866,2337
ENSGACG00000018175,22135,25947,45069,55308
ENSGACG00000018181,114,77,101,174
ENSGACG00000018186,2,8,1,1
ENSGACG00000018187,2701,2686,4802,4258
ENSGACG00000018188,17108,13136,27586,30053
ENSGACG00000018200,9409,8604,17623,17671
ENSGACG00000018207,35,56,111,164
ENSGACG00000018209,553,398,704,701
ENSGACG00000018211,4,0,0,0
ENSGACG00000018213,219,195,383,287
ENSGACG00000018214,2282,1937,2812,3545
ENSGACG00000018218,3033,2468,4938,5124
ENSGACG00000018221,2,2,4,7
ENSGACG00000018224,154,133,225,270
ENSGACG00000018229,2937,2131,2907,3541
ENSGACG00000018231,1648,1304,2764,3259
ENSGACG00000018242,6,10,10,20
ENSGACG00000018243,287,231,319,527
ENSGACG00000018245,0,0,1,0
ENSGACG00000018246,1,0,1,0
ENSGACG00000018249,9,5,10,10
ENSGACG00000018250,0,0,0,0
ENSGACG00000018251,0,0,0,0
ENSGACG00000018252,4,0,10,39
ENSGACG00000018253,6,0,2,0
ENSGACG00000018254,3,4,12,13
ENSGACG00000018255,0,2,2,0
ENSGACG00000018256,84,29,6,57
ENSGACG00000018258,941,663,1331,1355
ENSGACG00000018263,474,482,1092,907
ENSGACG00000018264,870,799,1308,1364
ENSGACG00000018268,36,90,106,170
ENSGACG00000018271,627,530,1144,1242
ENSGACG00000018273,6812,5684,9356,8932
ENSGACG00000022698,227,181,333,306
ENSGACG00000018279,1404,1287,2702,2484
ENSGACG00000018281,1601,1147,1884,2610
ENSGACG00000018285,395,274,260,448
ENSGACG00000018286,5,15,9,10
ENSGACG00000018287,450,729,950,486
ENSGACG00000018289,329,281,470,547
ENSGACG00000018291,56,102,125,126
ENSGACG00000018292,79,10,51,47
ENSGACG00000018296,68,60,42,87
ENSGACG00000018298,7859,6334,12023,9259
ENSGACG00000018300,106,79,118,155
ENSGACG00000018311,119,122,231,214
ENSGACG00000018312,3445,2432,4848,2541
ENSGACG00000018313,365,296,455,268
ENSGACG00000018314,36,22,29,58
ENSGACG00000018315,39,68,90,55
ENSGACG00000018316,1132,784,2386,2286
ENSGACG00000018318,1427,1156,1589,1483
ENSGACG00000018319,2061,1787,2193,3240
ENSGACG00000018320,790,729,937,1557
ENSGACG00000018322,126,131,255,294
ENSGACG00000018324,8,12,2,2
ENSGACG00000018325,1654,1266,2523,2498
ENSGACG00000018331,1003,1446,2660,2983
ENSGACG00000018332,868,684,1387,1471
ENSGACG00000018334,2702,2259,4594,4367
ENSGACG00000018337,48,25,22,38
ENSGACG00000018344,1026,914,1398,2131
ENSGACG00000018348,4192,2496,5539,5249
ENSGACG00000018350,2447,1890,3698,3499
ENSGACG00000018351,1405,1047,1800,2149
ENSGACG00000018352,7105,5203,8960,9340
ENSGACG00000018354,1898,1871,3576,3336
ENSGACG00000018355,1091,724,1815,2372
ENSGACG00000018357,1498,1885,3529,2957
ENSGACG00000018359,36,22,33,63
ENSGACG00000018361,2,4,2,4
ENSGACG00000018362,21,4,2,18
ENSGACG00000018367,35,8,6,22
ENSGACG00000018374,5230,4581,8762,10550
ENSGACG00000018378,3884,3371,5645,5840
ENSGACG00000018379,2964,2210,2306,2576
ENSGACG00000018383,1057,972,1749,1835
ENSGACG00000018384,87,29,71,97
ENSGACG00000018386,165,125,119,213
ENSGACG00000018387,249,176,484,432
ENSGACG00000018389,0,2,77,4
ENSGACG00000018390,2,3,31,34
ENSGACG00000018391,1422,926,1494,2349
ENSGACG00000018406,0,0,1,0
ENSGACG00000018407,119,101,109,266
ENSGACG00000018408,3,9,25,8
ENSGACG00000018413,96,104,212,233
ENSGACG00000018417,3014,2505,4946,4974
ENSGACG00000018418,1511,1341,2575,2549
ENSGACG00000018419,0,0,0,2
ENSGACG00000018420,67,19,167,162
